
Case 100
10, 1021
20, 469
30, 503
40, 220
50, 331
60, 236
70, 295

Case 200
10, 349
20, 222
30, 266
40, 207
50, 276
60, 156
70, 389

Case 300
10, 412
20, 353
30, 274
40, 185
50, 305
60, 178
70, 472

Case 400
10, 379
20, 295
30, 311
40, 235
50, 280
60, 167
70, 328

Case 500
10, 311
20, 214
30, 223
40, 210
50, 225
60, 220
70, 275

Case 600
10, 244
20, 245
30, 229
40, 195
50, 228
60, 220
70, 263

Case 700
10, 308
20, 262
30, 283
40, 280
50, 318
60, 263
70, 375

Case 800
10, 252
20, 248
30, 219
40, 211
50, 163
60, 142
70, 252

Case 900
10, 502
20, 443
30, 415
40, 188
50, 362
60, 247
70, 375

Case 1000
10, 545
20, 357
30, 444
40, 440
50, 404
60, 382
70, 407

Case 1100
10, 514
20, 453
30, 435
40, 248
50, 401
60, 213
70, 331

Case 1200
10, 725
20, 314
30, 291
40, 271
50, 316
60, 226
70, 281

Case 1300
10, 340
20, 317
30, 352
40, 314
50, 366
60, 297
70, 431

Case 1400
10, 627
20, 248
30, 312
40, 205
50, 303
60, 209
70, 369

Case 1500
10, 432
20, 250
30, 259
40, 206
50, 288
60, 202
70, 349

Case 1600
10, 538
20, 366
30, 432
40, 275
50, 228
60, 500
70, 609

Case 1700
10, 428
20, 385
30, 324
40, 299
50, 355
60, 290
70, 392

Case 1800
10, 322
20, 323
30, 307
40, 303
50, 283
60, 310
70, 306

Case 1900
10, 632
20, 600
30, 673
40, 652
50, 369
60, 305
70, 383

Case 2000
10, 425
20, 423
30, 305
40, 354
50, 325
60, 285
70, 398

Case 2100
10, 534
20, 359
30, 494
40, 298
50, 403
60, 227
70, 311

Case 2200
10, 322
20, 241
30, 194
40, 214
50, 330
60, 248
70, 249

Case 2300
10, 291
20, 214
30, 202
40, 217
50, 285
60, 208
70, 338

Case 2400
10, 233
20, 192
30, 205
40, 184
50, 272
60, 270
70, 225

Case 2500
10, 339
20, 197
30, 198
40, 191
50, 223
60, 206
70, 212

Case 2600
10, 303
20, 236
30, 254
40, 209
50, 276
60, 232
70, 379

Case 2700
10, 366
20, 233
30, 286
40, 184
50, 224
60, 165
70, 280

Case 2800
10, 286
20, 184
30, 221
40, 417
50, 271
60, 252
70, 358

Case 2900
10, 226
20, 186
30, 210
40, 218
50, 275
60, 234
70, 327

Case 3000
10, 287
20, 251
30, 222
40, 217
50, 226
60, 181
70, 297

Case 3100
10, 1132
20, 618
30, 530
40, 326
50, 614
60, 346
70, 812

Case 3200
10, 649
20, 597
30, 567
40, 453
50, 524
60, 449
70, 554

Case 3300
10, 501
20, 470
30, 678
40, 466
50, 536
60, 422
70, 541

Case 3400
10, 535
20, 302
30, 472
40, 559
50, 549
60, 534
70, 598

Case 3500
10, 653
20, 630
30, 597
40, 379
50, 565
60, 554
70, 599

Case 3600
10, 474
20, 403
30, 541
40, 389
50, 472
60, 469
70, 567

Case 3700
10, 540
20, 496
30, 623
40, 372
50, 529
60, 514
70, 614

Case 3800
10, 522
20, 481
30, 519
40, 492
50, 535
60, 488
70, 549

Case 3900
10, 660
20, 535
30, 648
40, 544
50, 637
60, 566
70, 533

Case 4000
10, 627
20, 574
30, 546
40, 540
50, 633
60, 484
70, 599

Case 4100
10, 648
20, 432
30, 503
40, 547
50, 546
60, 519
70, 570

Case 4200
10, 682
20, 585
30, 582
40, 480
50, 554
60, 704
70, 1087

Case 4300
10, 953
20, 589
30, 471
40, 319
50, 426
